"","estimated_age_group","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70+"
"1","0-4",0.265094396296169,0.275868379425267,0.0489236790606654,0.0289628180039139,0.0371408549404345,0.117882352941176,0.390531177829099,0.452997434103102,0.204029584289722,0.073038073038073,0.0257077774162057,0.0438212094653812,0.0645645645645646,0.0658682634730539,0.0301003344481605
"2","5-9",0.291691298348549,0.509945220511539,0.144814090019569,0.0661448140900196,0.0157673440784863,0.0625882352941177,0.148729792147806,0.369722416608351,0.449885233358837,0.21963221963222,0.0829808005206639,0.0324276950043821,0.0565565565565566,0.062874251497006,0.040133779264214
"3","10-14",0.0482345275979444,0.135029354207436,0.38160469667319,0.222979759723635,0.0344881590207616,0.0301575951901462,0.0485187626587134,0.117871038129226,0.367007241166764,0.383601681418854,0.230793949711512,0.0794603839526432,0.0367177030328811,0.0379968234345281,0.0363789174371628
"4","15-19",0.0271515226668948,0.0586445455190798,0.212021497187005,0.750293542074364,0.211807159711843,0.0329764537131776,0.0253463437583389,0.05946422504527,0.16183840012703,0.292565092939029,0.29807803814302,0.145413551610041,0.0590095302726579,0.0319659509064552,0.0317417789668
"5","20-24",0.0397081198863086,0.0159427935774281,0.0373988733648303,0.24155425368977,1.00735809390329,0.216876697828909,0.05407126924325,0.0302746628242321,0.0521172830391416,0.0991089851740856,0.194170210524407,0.1569269986078,0.0844083407383559,0.0395347595062519,0.0320493989168762
"6","25-29",0.136349060654771,0.0684659299106752,0.0353802698402573,0.0406868370481583,0.234632851482789,0.602588235294118,0.241808163531026,0.0799007685781203,0.0532276236561276,0.0499909375863186,0.0939049024530057,0.151478172759071,0.126164752519321,0.064296947366999,0.0310494770108558
"7","30-34",0.445341746732971,0.160403602562521,0.05611881511752,0.0308318541495368,0.0576735697354557,0.238399478560769,0.570900692840647,0.245944850948848,0.09167836608113,0.041953807661595,0.0481814212266237,0.0893116985741973,0.121955822905194,0.0921435901250331,0.0346694810640589
"8","35-39",0.50602877222604,0.390601315941915,0.133551157539932,0.0708568526338028,0.0316323426246737,0.0771661923834155,0.240923690272476,0.486354093771868,0.257013277511795,0.0924643188026096,0.0504264833535361,0.0466092198658076,0.097475390711166,0.120073222987615,0.0593919949516253
"9","40-44",0.208166653295761,0.434108414452426,0.379798921871766,0.176135224462787,0.0497361718096207,0.0469517450700251,0.0820251782865354,0.234743786885465,0.449885233358837,0.212241407938586,0.0953625316416559,0.0436258773288001,0.057362726104332,0.0881601222072796,0.0767519060206271
"10","45-49",0.0841107448418382,0.239208535886289,0.448067819128316,0.359394399376815,0.106754889032619,0.0497725738626346,0.0423677946115163,0.095322819083078,0.23955998362855,0.391608391608392,0.193723545334889,0.0722010210110857,0.0548280255883542,0.0588238176007964,0.0745139033306954
"11","50-54",0.0307009027454679,0.093722245448306,0.279558121453916,0.379719778870188,0.216891128487494,0.0969552936914135,0.0504578247823841,0.0539095650914419,0.111621118860366,0.20089394682709,0.400585746827205,0.211259457704967,0.102212737176258,0.0579459847156551,0.070004540894477
"12","55-59",0.0480733366308681,0.0336445277020783,0.088416159092097,0.170165460563938,0.161023828026059,0.143670171300282,0.0859192660528521,0.0457733050070518,0.046907908012023,0.0687798260721968,0.194065998967262,0.353198948290973,0.208847779932136,0.0987804784959458,0.0624725641573637
"13","60-64",0.0605904411473764,0.0501962527937247,0.0349499430327454,0.0590715913961361,0.0740914037963525,0.102363369642545,0.100363253648649,0.0818889690944493,0.0527620492850081,0.0446797076453863,0.0803208492591294,0.178656920899979,0.38038038038038,0.214223173429051,0.102033378044975
"14","65-69",0.0571578117093444,0.0516001135630079,0.033443194086661,0.0295892278986077,0.0320886209241361,0.0482376763501374,0.0701175627507091,0.0932751762869829,0.0749814004407987,0.0443251703716024,0.0421052365997251,0.0781358963534516,0.198086984090452,0.372754491017964,0.15259569756048
"15","70+",0.0674378172605619,0.0850394987896562,0.0826690666378522,0.0758595168650006,0.0671621584339521,0.0601427274060291,0.0681148537137904,0.119118887404971,0.168540135210221,0.144966390602803,0.131332369822582,0.127585585038206,0.243592863742543,0.393980832426633,0.581939799331104
