"","estimated_age_group","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70+"
"1","0-4",0.235885135548671,0.119574466225186,0.0117416829745597,0.0140900195694716,0.0147161878065872,0.0484705882352941,0.123094688221709,0.127828318171215,0.0566182096403979,0.0310800310800311,0.0257077774162057,0.0359333917616126,0.049049049049049,0.0726047904191617,0.0501672240802676
"2","5-9",0.126432871267176,0.379775068233361,0.0371819960861057,0.0410958904109589,0.0143658023826209,0.0294117647058824,0.0528868360277136,0.0984371355260089,0.0854373884213211,0.0665630665630666,0.0270094370322161,0.0429447852760736,0.0810810810810811,0.0583832335329341,0.0457079152731327
"3","10-14",0.0115762866235067,0.0346696990532607,0.24853228962818,0.104120536851794,0.048478770739491,0.0450084891345074,0.0521636019655706,0.0521301801480064,0.0779767302750023,0.0745349997624765,0.0610708450025668,0.0313879994939876,0.0337147000298781,0.0420804344153285,0.0579346734403938
"4","15-19",0.0132088488649759,0.0364359602337478,0.0990035693759518,0.609393346379648,0.223832124359405,0.0961182301675804,0.0777750604631866,0.0637676209152778,0.0827888599338713,0.0798758085408015,0.0780617671327435,0.0643617447143564,0.0647187796935827,0.0452447013105567,0.0503693085106623
"5","20-24",0.0157334059926883,0.0145256563705456,0.0525702577130145,0.255268055267768,0.925017519271198,0.392894242467115,0.271759091908248,0.207189580035962,0.189685881315103,0.178028533358629,0.202441447920217,0.174022235566823,0.175067971707548,0.161324901490828,0.137595343005175
"6","25-29",0.0560636856185284,0.0321738392437383,0.0528030328890904,0.118592096111989,0.425061324540978,0.630117647058824,0.486772667568526,0.324540234578921,0.296084860238306,0.238795066592806,0.257492815618188,0.268767958670701,0.263739184930499,0.243362966881256,0.174575027707345
"7","30-34",0.140370875818257,0.0570379269981635,0.0603345875730826,0.0946073068185017,0.289864047169025,0.479910803801632,0.629792147806005,0.441438286023282,0.346578281450426,0.260625384221151,0.273743158598791,0.270419320245327,0.314394392692199,0.287008441179962,0.219425444325591
"8","35-39",0.14279287702362,0.103996060143526,0.0590649409051502,0.0759847271962631,0.216481082613875,0.31343295719603,0.432425970643334,0.508747375787264,0.432096597265085,0.269371849915741,0.273220686236668,0.249952857528564,0.299622621890295,0.298310683069189,0.201617446556904
"9","40-44",0.0577662462895737,0.0824412238330855,0.0806945334249534,0.0901024380865414,0.181019597200834,0.261174554152815,0.310085645517013,0.394656620561849,0.45141545524101,0.303681252892631,0.285620620937984,0.251333252317347,0.281260802211647,0.30211547358364,0.244812951681923
"10","45-49",0.0357918063156758,0.0724959831636511,0.0870609708194593,0.0981214742568123,0.191762798195918,0.237751993938916,0.263197153362013,0.277699381211118,0.342769474994752,0.305102305102305,0.290584908155633,0.235625303111466,0.243829234010304,0.248708955683956,0.240641867990848
"11","50-54",0.0307009027454679,0.03050567204788,0.0739744292511203,0.0994424048766695,0.226130228594148,0.265857169429298,0.286676564956157,0.292092713777774,0.334316767076725,0.301340495224041,0.380084607875041,0.325425765370129,0.366395899659008,0.356284555721719,0.298302788691504
"12","55-59",0.0394201360373118,0.0445562664162659,0.0349256600433372,0.0753172301395102,0.178565363393304,0.254914209479295,0.260147661425199,0.245470068325094,0.270241375118013,0.22446036273818,0.298940823442032,0.372918492550394,0.421802237776064,0.338629315596943,0.268587868464749
"13","60-64",0.0460299475383169,0.0719627694918886,0.0320915184796591,0.0647868453121253,0.153670024432765,0.213983946682176,0.258730115773229,0.251712636850827,0.25870277296865,0.198697997494421,0.287921355387694,0.360826861814282,0.427427427427427,0.418783886559511,0.325918097005412
"14","65-69",0.0630034969978001,0.0479143911656502,0.0370374154520508,0.0418806805466296,0.130940308584504,0.182578870580293,0.218401869919674,0.231733444470287,0.256953379112556,0.18740821801891,0.258886713015647,0.267857632485643,0.387239324982393,0.536676646706587,0.413391636189601
"15","70+",0.112396362100936,0.0968505402882196,0.131653323317244,0.120377355422944,0.288342388281779,0.338151212647863,0.431103425335529,0.40437176651249,0.537586753436399,0.468167435488228,0.559632441881082,0.548527834489413,0.778091680548629,1.06731961351424,0.954292084726867
