"","estimated_age_group","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70+"
"1","0-4",0.588915151479111,0.0831661982137747,0.0117416829745597,0.0199608610567515,0.00140154169586545,0.0103529411764706,0.020554272517321,0.039888033589923,0.0298393267023718,0.0155400155400155,0.0094370322160755,0.007011393514461,0.00750750750750751,0.00374251497005988,0.00334448160535117
"2","5-9",0.0879363426364001,3.0476359089044,0.0313111545988258,0.00352250489236791,0.0210231254379818,0.0531764705882353,0.0415704387990762,0.0944716585024493,0.152257077276205,0.0802900802900803,0.0728929384965831,0.0451358457493427,0.124624624624625,0.0104790419161677,0.0189520624303233
"3","10-14",0.0115762866235067,0.0291955360448511,2.47749510763209,0.451808278111832,0.034951721654788,0.0597374614321844,0.0952225315759363,0.0747764294872311,0.0861719863990124,0.090249276756278,0.0561934260683093,0.0285072955109147,0.0434550745732663,0.00969738343589019,0.00939928666488541
"4","15-19",0.0187125358920491,0.00312308230574981,0.429604317833514,3.02700587084149,0.187129083060839,0.0582910870968024,0.0753193243363525,0.0844420146521419,0.0628345094164731,0.0609307707048348,0.0686429111655438,0.0432170497963711,0.026025421535712,0.00673377222892696,0.00234309071135752
"5","20-24",0.00149841961835127,0.0212570581032374,0.0379015595254974,0.213410283504616,0.615276804484933,0.0767271497197988,0.03667963008333,0.0328188595384165,0.0330534206627343,0.0249680148505454,0.0163188090627397,0.00687203395104725,0.0089967571841373,0.00236039014552677,0.00147702419249011
"6","25-29",0.0119747678020158,0.0581703013526789,0.0700827599719633,0.0719204066845994,0.0830089636421214,0.0527058823529412,0.0445814565298148,0.0435737039651981,0.0370674009993456,0.0184875526456176,0.0153298671969721,0.00923598906706973,0.00739053388497433,0.00487578091387623,0.000861097837198194
"7","30-34",0.0234390393017353,0.0448333050640587,0.110138333125288,0.091620094981789,0.0391232762442642,0.0439530073550381,0.0757505773672055,0.0794607780042565,0.0657475127071423,0.0368771573731252,0.0277543166207105,0.0156785002149342,0.0131577483676087,0.0115515042284933,0.0034620302474355
"8","35-39",0.0445576313340128,0.0998066453984072,0.0847237699202606,0.100620085164705,0.0342906348948434,0.0420824090039757,0.0778385227210511,0.145323069745743,0.13322473403758,0.0517743568100699,0.0355009211071925,0.0157426011949113,0.0130076932365865,0.00861217913051499,0.00413450275093056
"9","40-44",0.0304443730445051,0.146917643666722,0.0891754272363856,0.0683853177700261,0.0315432906919336,0.0326969164239462,0.0588246898611517,0.121681178799625,0.150216781433308,0.0637352794702998,0.0417424438227804,0.0198138543020787,0.0150044786829637,0.0110101403058639,0.0116361356674776
"10","45-49",0.0178959031578379,0.0874465166565442,0.105416108877634,0.0748489080534094,0.0268942079272921,0.0184067977921897,0.0372410495381894,0.0533749419371674,0.0719389428046206,0.0455840455840456,0.0305409998076053,0.0188319196172129,0.0102291092515586,0.00454074552265779,0.00345270919830846
"11","50-54",0.0112699516407414,0.0823285607075316,0.0680664664275317,0.0874437822094095,0.0182283621345955,0.0158278400542146,0.0290656109626917,0.0379530574007425,0.0488592133960238,0.031671431476173,0.022128213472177,0.0162781716596908,0.00919821189008455,0.0035890345320411,0.00545036494767058
"12","55-59",0.00769173386093889,0.046829545315055,0.0317202793366896,0.0505733413522257,0.00705143935039656,0.00875991641055743,0.0150829650849996,0.0154602649041049,0.0213044759641307,0.017939582262675,0.0149533643549829,0.014022787028922,0.00984799079926922,0.00519522015106023,0.00486746705633235
"13","60-64",0.00704540013341586,0.110609441996792,0.0413629463547679,0.0260527928245875,0.00789711494808179,0.00599628610064868,0.0108281376436612,0.0109277488571163,0.0138010707916233,0.00833576635175118,0.00722814211895135,0.00842437355005868,0.00600600600600601,0.00241252881596749,0.00188188469779905
"14","65-69",0.00324760293803093,0.00860001892716798,0.00853522602851431,0.00623310477082661,0.00191582459483274,0.00365797057728522,0.00879022970026883,0.00669010547586215,0.00936427625681298,0.00342156165843906,0.00260789680040328,0.00410944742764398,0.00223080701091652,0.00748502994011976,0.000992276138977271
"15","70+",0.00749309080672909,0.0401575410951154,0.0213593561982665,0.00559974062954579,0.00309522600046535,0.00166794347210503,0.00680182329297255,0.00829231899121724,0.0255518850332405,0.00671722682488554,0.0102251844784541,0.00994066179950703,0.00449278159317707,0.00256191875315754,0.00780379041248606
