"","estimated_age_group","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70+"
"1","0-4",0,0,0,0.00939334637964775,0.0490539593552908,0.0621176470588235,0.0473441108545035,0.0482855143456963,0.0604437643458301,0.0277130277130277,0.0364464692482916,0.0289219982471516,0.00750750750750751,0.0119760479041916,0
"2","5-9",0,0,0,0.0410958904109589,0.10791871058164,0.0792941176470588,0.108545034642032,0.104501982738512,0.117572047946952,0.0901320901320901,0.0699642043605597,0.0639789658194566,0.0235235235235235,0.0224550898203593,0
"3","10-14",0,0,0.00195694716242661,0.0155170483204748,0.0461020397197885,0.072180685134882,0.10126767506757,0.0742969657573967,0.0679238743787307,0.0678499559033245,0.107050019825285,0.040321390047755,0.020601411160507,0.00747397811136459,0.000430581970658242
"4","15-19",0.00880589924331724,0.0364359602337478,0.0147544683916952,0.110371819960861,0.133085975360835,0.12648445976259,0.16264756609916,0.116725955526666,0.105480727838055,0.109897262998541,0.096407541313985,0.0671862837080773,0.0523552499639248,0.0186099136718807,0.0103391976161799
"5","20-24",0.0524446866422943,0.109119564929952,0.049992936540997,0.151777133023251,0.680098107918711,0.561795321154024,0.438953207754822,0.32484105688099,0.310484481452681,0.23115117719134,0.223006215260309,0.183267832564008,0.132940166891404,0.0645311512110157,0.0402969933759232
"6","25-29",0.0718486068120947,0.0867406706011185,0.0846808938585795,0.156058399979752,0.607790691538679,1.00023529411765,0.837202912796926,0.617929832990664,0.55359115579624,0.40329320819113,0.377168383364918,0.288785739529921,0.182082390636482,0.0860585368334273,0.0487404254665797
"7","30-34",0.0539887983916375,0.117064741000598,0.117130397048108,0.197848103204102,0.468196859299915,0.825401156626936,0.881293302540416,0.73370179296938,0.688143860924087,0.4849768032326,0.451979941347374,0.340866939217982,0.215607965624627,0.102826412474324,0.0519926553461071
"8","35-39",0.0539381852990681,0.110403400341942,0.0841805242075387,0.139089239336697,0.339408688693834,0.596781397983533,0.718722684535806,0.734313039421507,0.713979179142812,0.514487406790468,0.48489645063535,0.360303445242433,0.223199874915953,0.111147579621488,0.0588740804377889
"9","40-44",0.0616693710388692,0.113448967722544,0.0702912950065557,0.114798908415253,0.296299204664102,0.488319204101335,0.615686396822697,0.652114855278897,0.697526141290487,0.511161515779851,0.507945084846996,0.380037654263538,0.221393726859747,0.0977487984013487,0.0534809866735115
"10","45-49",0.0319143606314776,0.0981657670854109,0.0792524726615047,0.135000592284424,0.24898366406917,0.401531596768558,0.4897624014594,0.530392595036624,0.576955484516947,0.464128464128464,0.457888831952088,0.36568468069565,0.20768653875104,0.120462823935273,0.0634839454904858
"11","50-54",0.0435253304745873,0.0790207167505325,0.129668487763085,0.12281297373408,0.249101391798992,0.389420258421139,0.473334412000619,0.518389445975564,0.594545863183428,0.474836935798812,0.48877318581191,0.405785587246118,0.270684270098615,0.120191708565199,0.0737400802892735
"12","55-59",0.0317284021763729,0.066379743844641,0.0448659100288454,0.078622554666871,0.188052331436284,0.273900166021496,0.327919384658891,0.353841569149973,0.408628374231697,0.34835696757878,0.3727605202197,0.314198071866784,0.213398816381099,0.102054026413401,0.0631094646369289
"13","60-64",0.00704540013341586,0.0208780874451775,0.0196095639699766,0.052410312690534,0.116691354192556,0.147731967018809,0.177434061180297,0.187509970727244,0.20363723137425,0.169245084675266,0.212709208813346,0.182550063355884,0.127127127127127,0.0791200618386819,0.0466730915246407
"14","65-69",0.010392329401699,0.0184286119867885,0.00657827886608769,0.0172262348278678,0.0523770898032384,0.0645639337003411,0.078246760510582,0.0863415657971894,0.0831367018560373,0.0907716535946662,0.0873347886190239,0.0807252905807414,0.0731604064107717,0.0508982035928144,0.0295126465636755
"15","70+",0,0,0.000978473581213307,0.0247095960423494,0.084445672773618,0.0944100321388822,0.102149556451336,0.118080137979071,0.117439333984842,0.123507668067493,0.1383404472275,0.128886305144583,0.11142659629669,0.0761975419107833,0.0345596432552954
