"","estimated_age_group","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70+"
"1","0-4",0.219444131863075,0.214498917767421,0.0293542074363992,0.0203522504892368,0.0301331464611072,0.107529411764706,0.354041570438799,0.416375087473758,0.186432032644733,0.0634550634550635,0.0211519687601692,0.035056967572305,0.0505505505505505,0.0591317365269461,0.0167224080267559
"2","5-9",0.226801882652474,0.305180443846788,0.0547945205479452,0.0320939334637965,0.0101611772950245,0.0470588235294118,0.122401847575058,0.317004898530441,0.395052282580974,0.186221186221186,0.0650829808005207,0.0241016652059597,0.0375375375375375,0.0449101796407186,0.0256410256410256
"3","10-14",0.0289407165587666,0.0510921880784894,0.123287671232877,0.0731546161592875,0.0115456650881777,0.012138659750843,0.0224369616759282,0.0672819485623195,0.226175591925163,0.22823093687268,0.115508939873575,0.0311542000976502,0.0161508337493269,0.0201322180370372,0.0233580562968205
"4","15-19",0.0190794483605207,0.0284547498968316,0.0695594580577922,0.183953033268102,0.0599655223419442,0.00980662733421201,0.00897550783413146,0.0216597749002329,0.0711608238906389,0.133165038803316,0.125919749667156,0.0595939292455092,0.0198315767194398,0.0111276384489417,0.0153401439872974
"5","20-24",0.0322160217945522,0.0102742447498981,0.0125200903384133,0.0683873341020757,0.366503153468816,0.0978674956783695,0.021369482743809,0.00849980880138165,0.016519012631,0.0354035560210911,0.0794441005204285,0.0604539227915507,0.030582848513631,0.0091386659544525,0.0111473858369404
"6","25-29",0.124374292852755,0.0514781427899813,0.0142408257281809,0.0120995620635719,0.105880114407729,0.397411764705882,0.155023724270302,0.0428765647460725,0.0194919949961456,0.0152483003694867,0.0293929369834889,0.0630530718456314,0.0445394032333662,0.0235301777995634,0.00981493334166681
"7","30-34",0.403730867972587,0.132009176021951,0.0259515213309787,0.0109180066008109,0.0227931463508143,0.15283840913769,0.436951501154734,0.175490928055777,0.0517359239855534,0.015789321145798,0.0175078006644013,0.0327097694428393,0.0445870745337782,0.0332811678737853,0.0102173073712497
"8","35-39",0.46511913410066,0.334906743447989,0.0762323150338995,0.0258095262658976,0.00888098624947577,0.0414091291337268,0.171908140517782,0.388383484954514,0.183891336497579,0.0532827789618447,0.016759587990016,0.0107399964593041,0.0284232415864696,0.0458029691842925,0.0203802580228576
"9","40-44",0.190212279449002,0.381198375275968,0.234058722366877,0.0774471798973322,0.0157642993347076,0.0171937636344183,0.0462884382666493,0.167957660097502,0.349655700076511,0.15431442384125,0.0543926242408737,0.0175323607075457,0.018050995582556,0.0317611931863014,0.0211479558491446
"10","45-49",0.0730749378945048,0.202819501535662,0.266586261467643,0.163583319725303,0.0381348137886084,0.0151816947843687,0.0159451251899792,0.0549299964028958,0.174176948824972,0.292411292411292,0.134340618071541,0.0418940241366726,0.0236164391921136,0.0220241468053562,0.0244859965406328
"11","50-54",0.0252602364361444,0.0735076434888675,0.139914682696638,0.160408394381811,0.0887402890845797,0.0303477322615137,0.0183349829822189,0.0179172141217768,0.0636661534776802,0.139313044973073,0.279856817442239,0.141807897760633,0.052969856930606,0.0235400459192134,0.0270431004702788
"12","55-59",0.0384586693046945,0.0250060678866798,0.0346655097194409,0.0697378497711936,0.0620321688010888,0.0598029766802054,0.0314673153478542,0.0105473795768683,0.0188513426814281,0.0399089050713333,0.130266789659177,0.26205083260298,0.140609656464297,0.0606338206201127,0.0306881799830895
"13","60-64",0.0474390275650001,0.0333160969869854,0.0153732579340496,0.0198524338576998,0.0268448136599426,0.0361369027861981,0.036692826666944,0.0238783341606226,0.0166032471475995,0.0192451868803535,0.0416247916975764,0.120283243043704,0.253253253253253,0.140556036728887,0.0463428259619171
"14","65-69",0.0513121264208887,0.036857223973577,0.017719525327367,0.0103002795381431,0.00741745216682958,0.0176531102585299,0.0253256289845065,0.0355806225470669,0.0270133330711624,0.0165957277044083,0.0171048815178577,0.047961682263782,0.129968765589934,0.245508982035928,0.0810529997643613
"15","70+",0.0374654540336455,0.0543307908933915,0.053079883860424,0.0366613324581801,0.0233602663078573,0.0190114912489453,0.0200738625321675,0.0408754355311077,0.0464389683987354,0.0476373720895387,0.0507343441829802,0.0626734223208402,0.11063812554564,0.209267553596537,0.341137123745819
