"","estimated_age_group","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70+"
"1","0-4",0.101100594730426,0.0657232599388765,0.00978473581213307,0.0101761252446184,0.00840925017519271,0.032,0.0584295612009238,0.04641940751108,0.0277990308594746,0.0168350168350168,0.0126911812561015,0.0267309377738826,0.0355355355355355,0.0531437125748503,0.040133779264214
"2","5-9",0.0694929337795435,0.157716927779465,0.0136986301369863,0.00821917808219178,0.00630693763139453,0.0136470588235294,0.0143187066974596,0.0296244459995335,0.0206579954093344,0.0199430199430199,0.00683371298405467,0.0118317265556529,0.033033033033033,0.0359281437125748,0.0256410256410256
"3","10-14",0.00964690551958888,0.0127730470196224,0.0684931506849315,0.0306119160575401,0.0116774474292367,0.00556093080273511,0.00904204250733694,0.0148173978082388,0.0208354787494923,0.0142044544712972,0.0140923885704715,0.00613790799495548,0.0104220415402333,0.0152780004047145,0.0285250399447194
"4","15-19",0.00953972418026035,0.00728719204674956,0.0291075041175345,0.209393346379648,0.0523530896930033,0.0190721810076478,0.0117636809944912,0.0109060144545427,0.0145554564474332,0.0139335845162215,0.0160881039234918,0.0115033879349755,0.00857857025591207,0.0102334078388442,0.0153085919134789
"5","20-24",0.0089905177101076,0.00637711743097123,0.0126629947793845,0.0597057791925051,0.243868255080589,0.0871395946824807,0.0479014437809059,0.0266225875450344,0.0289376828911652,0.0263378096978307,0.0354009394673215,0.0256981591952914,0.0228495944056166,0.0196612321647596,0.0261141736433723
"6","25-29",0.0370129186607761,0.0149286614090946,0.00652396953812992,0.0235315394299375,0.0942738974822197,0.196235294117647,0.110249679106292,0.0516835427306644,0.0473312323253903,0.0359438981989122,0.0384712055998903,0.050785731876527,0.0458773108217153,0.031813822621598,0.0297563942732698
"7","30-34",0.0666300780150453,0.015442582855398,0.0104584017387935,0.0143096022109503,0.0510927022241477,0.108695528002965,0.186143187066975,0.0965221767335087,0.0616258956418117,0.0458608615169856,0.0483105454752271,0.0555768501567043,0.0586502549027546,0.0657898853618294,0.0345140632203751
"8","35-39",0.0518536177512781,0.0312973925076487,0.0167885229520964,0.012995475152318,0.0278164885161279,0.0499146913400661,0.0945515993608075,0.121996734313039,0.0880487127667825,0.0465929241306213,0.0383910319972503,0.0411360270955058,0.0591916095555886,0.0552200438708362,0.0363509140611701
"9","40-44",0.0283627065115475,0.0199335496432237,0.0215616791117851,0.0158412872749276,0.0276155909157121,0.0417505761359689,0.0551370546090859,0.0804195349958779,0.095383830655445,0.0589326253931975,0.0413434133102889,0.0373040982834323,0.0512661801944636,0.0640269743172311,0.0462200888963898
"10","45-49",0.0193872284209911,0.0217205863953352,0.0165915824803493,0.0171163695164998,0.0283696775495724,0.0357868928728792,0.0463134020428258,0.0480333271792778,0.0665181168533663,0.0637140637140637,0.0534306822730159,0.0455356625225016,0.0354346896417932,0.0404313923447288,0.0475568965547681
"11","50-54",0.0151561418616867,0.00771830256633108,0.0170699521390579,0.0204945366063427,0.0395433969497584,0.0397208978462735,0.0505930496999004,0.041042795387362,0.0483921512124074,0.0554083429814106,0.0807028961926456,0.0598869357139544,0.0551371496609324,0.0617746895027653,0.0553735975076476
"12","55-59",0.0293247353448295,0.012275706053461,0.00682969579027041,0.0134614641092748,0.026369050600342,0.0481679615314338,0.0534658085248077,0.0403982714244536,0.0401105334240584,0.0433779869664037,0.055013006900015,0.0907099035933392,0.0826141470488157,0.0600711738483181,0.0583327508489043
"13","60-64",0.0333482272981684,0.0293181653485472,0.00992027627081875,0.00858759245462232,0.0200567682160363,0.0372224098416871,0.0482660874170724,0.0497268064296463,0.0471544661450482,0.028875954527106,0.04332789443704,0.0706715155857321,0.11011011011011,0.0858906280965724,0.0721083149837531
"14","65-69",0.0461159617200392,0.0294857791788616,0.013447048637404,0.00947253650013618,0.0159581551453888,0.0238677719849105,0.050063454321244,0.0428959862862883,0.0544558251519372,0.0304660327591003,0.0448872847730858,0.0475166256036611,0.0794209851760952,0.122754491017964,0.109315068270425
"15","70+",0.0899170896807491,0.0543307908933915,0.0648215668349837,0.0365859263166887,0.0547244044157211,0.0576380307062139,0.0678095055123716,0.0729068023838422,0.101495069450554,0.0925216816413322,0.103883915148352,0.119130985646731,0.172150244195574,0.282236277185251,0.226309921962096
