"","estimated_age_group","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70+"
"1","0-4",0.17610627981497,0.0265402289024779,0.00195694716242661,0.00195694716242661,0,0.00117647058823529,0.00554272517321016,0.0109633776533707,0.00510073960724305,0.00336700336700337,0.00097624471200781,0.00394390885188431,0.0015015015015015,0.0029940119760479,0.00222965440356745
"2","5-9",0.0280624906818241,0.776462555984193,0.00587084148727984,0.000782778864970646,0.00245269796776454,0.00494117647058824,0.00669745958429561,0.0249591789129928,0.0326447334863555,0.0119140119140119,0.0146436706801171,0.00482033304119194,0.00550550550550551,0.00748502994011976,0.0133779264214047
"3","10-14",0.00192938110391778,0.00547416300840958,0.444227005870841,0.11585780326181,0.000525578135949545,0.00212815340483327,0.00284665635759457,0.00429308068131187,0.00653459157848819,0.0044030044030044,0.00682797118826905,0.000876424189307625,0.00475475475475476,0.00445786247780636,0.00197599114310021
"4","15-19",0.00183456234235776,0.000694018290166625,0.110164011921135,0.454794520547945,0.0177930210453364,0.00249678914270604,0.00110540297740853,0.00163757270961856,0.00323016275843752,0.00182224834478571,0.00426586746190475,0.00412273758794388,0.00125125125125125,0.0014313199195923,0.000639297834863448
"5","20-24",0,0.00247999011204437,0.000569935615811438,0.0202919482294171,0.0522074281709881,0.00469338730518664,0.00118559108723692,0.00188805175410953,0.00173907266033189,0.00106914612164645,0.000795934920270734,0.000389841439762318,0.000750750750750751,0.000215846039375705,0.00050160577723541
"6","25-29",0.00136076906841088,0.00540520499294804,0.00249670576349754,0.0030805754274389,0.00507764484406621,0.004,0.00267902370342255,0.0012933174451324,0.00155949211783751,0.000883827054533266,0.000602068022734271,0,0.00068525679935844,0.000313628156304721,6.07368472612665e-05
"7","30-34",0.0063206398117039,0.0072231435936539,0.00329256092037361,0.00134463667426237,0.00126457675590867,0.0026412584447999,0.00277136258660508,0.00469522819464914,0.00179143694186685,0.00179784680301313,0.00174809172907079,0.000777350931358455,0.001001001001001,0.000374251497005988,0.00011754864208433
"8","35-39",0.0122468343432667,0.0263686692780977,0.00486417956014726,0.00195131186985526,0.00197272221744796,0.00124905410248135,0.00459937135891294,0.00559832050384884,0.0062528487697357,0.00310657560855967,0.00195436293257979,0.00133305346041725,0.000527912026348567,0,0
"9","40-44",0.00520416633239403,0.0314999303004028,0.00676234841713768,0.00351551573706952,0.00165961868270686,0.00137561798415908,0.00160280926489984,0.00571105669419167,0.00892629431267534,0.00428465355910181,0.00266275450551819,0.00246442639335437,0.001001001001001,0.00149815861607038,0.000731626475980561
"10","45-49",0.00387744568419822,0.0129759347296807,0.00514295081598563,0.00223849620202688,0.00115162692237783,0.000879966439469038,0.00181558738857353,0.00320261424663498,0.00483615118483122,0.00310800310800311,0.00212658631923482,0.000846036980449363,0.000409164370062345,0.000171859282956654,0.000199692358154745
"11","50-54",0.00116585706628359,0.0165392197849952,0.00827064488094226,0.00543426231404139,0.000889071617082182,0.000621625500283361,0.00183068294631893,0.00208935560680584,0.00311673392096263,0.00220529888713861,0.00130165961601041,0.00166888162582733,0.000707554760775734,0,0.000173457015857529
"12","55-59",0.00432660029677813,0.00500121357733597,0.000975203701509517,0.00482449904200182,0.000400018871899832,0,0.000747823885941806,0.00130914576150517,0.00264982835051326,0.000805948109196673,0.00153305884334226,0.00175284837861525,0.00101864720890289,0.000276996888835858,0.000321857283363106
"13","60-64",0.00140908002668317,0.00488636089142453,0.00452583887571996,0.00125256720916597,0.000658989106262724,0.000555980919013443,0.00082377138682516,0.000443498315778423,0.000920717471709711,0.000333430654070047,0.000556010932227027,0.000871392426987181,0.0005005005005005,0.000374251497005988,0.000557413600891862
"14","65-69",0.00259808235042475,0.00614287066226284,0.00392362167626481,0.00132489884066239,0.000175192711983181,0.000235294117647059,0.000284790323344857,0,0.0012742045757524,0.00012950012950013,0,0.000219106047326906,0.000346061302083203,0,0.000289908358723606
"15","70+",0.00499539387115273,0.0283464995965521,0.00449032997661122,0.00152785465919559,0.00105115627189909,0.000117647058823529,0.00023094688221709,0,0.00160658453422644,0.000388500388500389,0.000325414904002603,0.000657318141980719,0.00133076036422552,0.000748502994011976,0.00222965440356745
