"","estimated_age_group","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70+"
"1","0-4",0,0,0,0.00430528375733855,0.0220742817098809,0.0367058823529412,0.0267898383371824,0.0268252857476091,0.0224432542718694,0.013986013986014,0.0152945004881224,0.0127081507449606,0.001001001001001,0.00224550898203593,0
"2","5-9",0,0,0,0.00430528375733855,0.0122634898388227,0.0197647058823529,0.0177829099307159,0.026358759038955,0.0168324407039021,0.0194250194250194,0.00780995769606248,0.0166520595968449,0.004004004004004,0.000748502994011976,0
"3","10-14",0,0,0,0.00264517549257348,0.00332866152768045,0.00753991811071563,0.0078898408808758,0.00443200373221367,0.00502611014020676,0.00427350427350427,0.00732183534005857,0.00657318141980719,0.00525525525525526,0,0
"4","15-19",0.00403603715318707,0.00381710059591644,0.00251517926538673,0.0156555772994129,0.015419469111236,0.00855347210058849,0.00892114854132548,0.00866636644178923,0.00854649127711411,0.00782858536614765,0.0081617581854981,0.0103041043549033,0.0121056291719881,0.002342660726093,0.000818842339715864
"5","20-24",0.0236001089890325,0.0123999505602218,0.00360959223347244,0.0175850446156981,0.070427470217239,0.050377430421253,0.0332174403526809,0.0267971679566593,0.0265511424374077,0.0240245513870662,0.0212763094283005,0.0210998084020567,0.0190451780105692,0.0129229297873303,0.0169432023239152
"6","25-29",0.0424559949344196,0.0216208199717922,0.00884567670759524,0.0105534005742268,0.0545019371303742,0.0896470588235294,0.0682774439090787,0.055153997837243,0.0413717170229341,0.0308981870920852,0.0381950569844532,0.0277994533446017,0.0248142469599399,0.0164800226971509,0.0205614003009295
"7","30-34",0.0305497590899022,0.0191786916107362,0.00912571750468999,0.0108518827525965,0.0354304307893204,0.0673149607014736,0.092378752886836,0.065403806148913,0.0524747780894798,0.0448041755997906,0.047171593311218,0.0363564585208761,0.0291726554384793,0.0238839502474541,0.0177782896662462
"8","35-39",0.0299656584994823,0.027847286246963,0.00502158323242657,0.0103267376202902,0.0279988980586598,0.0532663713198452,0.0640685351796163,0.0683461628178213,0.0509164858493603,0.042514383801089,0.0455059161136494,0.0348492619458351,0.027811321723768,0.0215242250421655,0.0219431438158358
"9","40-44",0.0228983318625337,0.0162421515611452,0.00520129032438325,0.00930148937632957,0.0253380856599307,0.0364937259517578,0.0469494954188751,0.0465047129817271,0.0591685794440194,0.0391763358829633,0.0525405709283637,0.0348376053337846,0.0246280410999721,0.0167075230335078,0.0164570392024779
"10","45-49",0.0161063128420541,0.0211564153201317,0.00499168755669193,0.00961683332544087,0.0258779596308017,0.0307632217660826,0.0452462890820734,0.0438287002811442,0.0442189037186604,0.042994042994043,0.0442279494151998,0.0371264683053508,0.0227870211505328,0.0227883624471558,0.0267252503372161
"11","50-54",0.0182650940384429,0.00882091721866409,0.00886885698615683,0.0103972135374237,0.0237659667231659,0.0394357788651257,0.0494002860315814,0.0486491221205187,0.0614983391446019,0.0458649840561646,0.0562967783924504,0.0397580111205243,0.0343053315209869,0.0198679714361356,0.0236642392632625
"12","55-59",0.0139412676229517,0.017276919630797,0.00731402776132138,0.0120580416600588,0.0216506525305244,0.0263665196861437,0.0349754878953461,0.0342242565078323,0.0374584830475724,0.0353672565423263,0.0365222851032371,0.0376862401402279,0.0330148622151842,0.023978054790752,0.0199761363637993
"13","60-64",0.000939386684455447,0.00355371701194511,0.005002242967901,0.0121183608264065,0.0167173523612849,0.0201329601433075,0.0240075672291007,0.023364260953432,0.0226527922669945,0.0185692888297494,0.0269578277424479,0.0282422615611165,0.015015015015015,0.0121724324287348,0.0153706120701795
"14","65-69",0.00194856176281856,0.000614287066226284,0,0.00216847990276696,0.0104889722450264,0.0123638529302264,0.018174724665473,0.0167204297119247,0.0142099788836939,0.0171715826880698,0.0144366454756107,0.0189667719008314,0.0112555536838384,0.00973053892215569,0.00734785691434125
"15","70+",0,0,0,0.00195694716242661,0.0355058777173539,0.0398273598280798,0.0349288643132629,0.0440100198627543,0.0361381463490965,0.051993828079955,0.0443954146799935,0.0407965813338222,0.0366955547624851,0.0189711428955366,0.0100334448160535
